id	species	size	synonyms	symbols	descriptions
1171147	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU00050; BSU00040; BSU00030	yaaB; recF; yaaA	hypothetical protein; recombination protein F; RNA binding protein
1171148	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU00120; BSU00110	yaaE; yaaD	glutamine amidotransferase subunit PdxT; pyridoxal biosynthesis lyase PdxS
1171149	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU00150; BSU00140	dgk; dck	deoxyguanosine kinase; deoxyadenosine/deoxycytidine kinase
1171150	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU00230; BSU00220; BSU00210; BSU00200; BSU00190	bofA; yaaL; recR; yaaK; dnaX	inhibitor of the pro-sigma(K) processing machinery; hypothetical protein; recombination protein RecR; hypothetical protein; DNA polymerase III subunits gamma and tau
1171151	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	9	BSU00330; BSU00320; BSU00310; BSU00300; BSU00290; BSU00280; BSU00270; BSU00260; BSU00250	yabA; yaaT; holB; yaaR; yaaQ; tmk; yaaO; yaaN; xpaC	DNA replication intiation control protein YabA; hypothetical protein; DNA polymerase III subunit delta'; hypothetical protein; hypothetical protein; thymidylate kinase; lysine decarboxylase; hypothetical protein; phosphatase
1171152	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU00360; BSU00350; BSU00340	yabC; yazA; yabB	methyltransferase; GIY-YIG nuclease superfamily protein; methyltransferase
1171153	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU00390; BSU00380	yabD; metS	metal-dependent DNase; methionyl-tRNA synthetase
1171154	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU00420; BSU00410	ksgA; rnmV	dimethyladenosine transferase; ribonuclease M5
1171155	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU00480; BSU00470; BSU00460	yabJ; purR; ipk	hypothetical protein; pur operon repressor; 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
1171156	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU00510; BSU00500	prs; glmU	ribose-phosphate pyrophosphokinase; bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
1171157	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU00590; BSU00580; BSU00570	yabO; yabN; yabM	ribosomal RNA binding protein; heat shock protein; fusion methylase and nucleotide pyrophosphohydrolase; exporter
1171158	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU00620; BSU00610; BSU00600	divIC; yabQ; yabP	cell-division initiation protein; membrane protein of the forespore; spore protein involved in the shaping of the spore coat
1171159	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU00660; BSU00650	yabT; yabS	serine/threonine-protein kinase; hypothetical protein
1171160	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU00690; BSU00680; BSU00670	ftsH; hprT; tilS	cell-division protein and general stress protein; hypoxanthine-guanine phosphoribosyltransferase; tRNAile lysidine synthetase
1171161	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU00720; BSU00710; BSU00700	yacD; hslO; coaX	protein secretion PrsA; Hsp33-like chaperonin; pantothenate kinase
1171162	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	8	BSU00810; BSU00800; BSU00790; BSU00780; BSU00770; BSU00760; BSU00750; BSU00740	dusB; yazB; folK; folB; sul; pabC; pabA; pabB	tRNA-dihydrouridine synthase B; transcriptional regulator; 7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase; dihydroneopterin aldolase; dihydropteroate synthase; 4-amino-4-deoxychorismate lyase; para-aminobenzoate/anthranilate synthase glutamine amidotransferase component II; 4-amino-4-deoxychorismate synthase
1171163	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	6	BSU00880; BSU00870; BSU00860; BSU00850; BSU00840; BSU00830	yacK; radA; clpC; mcsB; mcsA; ctsR	DNA integrity scanning protein DisA; DNA repair protein RadA; class III stress response-related ATPase; ATP:guanido phosphotransferase; activator of protein kinase McsB; transcriptional regulator
1171164	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU00920; BSU00910; BSU00900; BSU00890	gltX; ispF; ispD; yacL	glutamyl-tRNA synthetase; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase; hypothetical protein
1171165	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	6	BSU00980; BSU00970; BSU00960; BSU00950; BSU00940; BSU00930	sigH; yacP; rlmB; mrnC; cysS; cysE	RNA polymerase factor sigma-70; ribonuclease with PIN and NYN domains; 23S rRNA methyltransferase; ribonuclease for 23S RNA maturation; cysteinyl-tRNA synthetase; serine acetyltransferase
1171166	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU01030; BSU01020	rplA; rplK	50S ribosomal protein L1; 50S ribosomal protein L11
1171167	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU01050; BSU01040	rplL; rplJ	50S ribosomal protein L7/L12; 50S ribosomal protein L10
1171168	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU01080; BSU01070	rpoC; rpoB	DNA-directed RNA polymerase subunit beta'; DNA-directed RNA polymerase subunit beta
1171169	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU01130; BSU01120; BSU01110; BSU01100	tufA; fusA; rpsG; rpsL	elongation factor Tu; elongation factor G; 30S ribosomal protein S7; 30S ribosomal protein S12
1171170	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	24	BSU01380; BSU01370; BSU01360; BSU01350; BSU01340; BSU01330; BSU01320; BSU01310; BSU01300; BSU01290; BSU01280; BSU01270; BSU01260; BSU01250; BSU01240; BSU01230; BSU01220; BSU01210; BSU01200; BSU01190; BSU01180; BSU01170; BSU01160; BSU01150	mapA; adk; secY; rplO; rpmD; rpsE; rplR; rplF; rpsH; rpsN; rplE; rplX; rplN; rpsQ; rpmC; rplP; rpsC; rplV; rpsS; rplB; rplW; rplD; rplC; rpsJ	methionine aminopeptidase; adenylate kinase; preprotein translocase subunit SecY; 50S ribosomal protein L15; 50S ribosomal protein L30; 30S ribosomal protein S5; 50S ribosomal protein L18; 50S ribosomal protein L6; 30S ribosomal protein S8; 30S ribosomal protein S14; 50S ribosomal protein L5; 50S ribosomal protein L24; 50S ribosomal protein L14; 30S ribosomal protein S17; 50S ribosomal protein L29; 50S ribosomal protein L16; 30S ribosomal protein S3; 50S ribosomal protein L22; 30S ribosomal protein S19; 50S ribosomal protein L2; 50S ribosomal protein L23; 50S ribosomal protein L4; 50S ribosomal protein L3; 30S ribosomal protein S10
1171171	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU01420; BSU01410; BSU01400; BSU01390; BSU01389	rpsK; rpsM; rpmJ; infA; ybzG	30S ribosomal protein S11; 30S ribosomal protein S13; 50S ribosomal protein L36; translation initiation factor IF-1; ribosomal protein
1171172	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU01440; BSU01430	rplQ; rpoA	50S ribosomal protein L17; DNA-directed RNA polymerase subunit alpha
1171173	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU01480; BSU01470; BSU01460; BSU01450	truA; ybaF; cbiO; cbiO	tRNA pseudouridine synthase A; permease; cobalt transporter ATP-binding subunit; cobalt transporter ATP-binding subunit
1171174	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU01500; BSU01490	rpsI; rplM	30S ribosomal protein S9; 50S ribosomal protein L13
1171175	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU01530; BSU01520	cwlD; ybaK	N-acetylmuramoyl-L-alanine amidase; alkylated deoxynucleotide triphosphohydrolase
